id,drone_type,motor_count,motor_current,total_current,battery_capacity,usable_battery,estimated_time,total_weight,cruise_speed,max_distance,target_distance,can_reach
41,octa,8,16.39,70.15,15664,13998.8,13.87,4.99,20.02,5.34,9.41,NO
42,hexa,6,14.12,42.02,9739,8060.6,24.79,4.44,15.97,4.34,9.84,NO
43,quad,4,16.2,26.13,14363,11698.23,34.4,4.78,11.41,9.04,9.35,NO
44,quad,4,11.4,22.25,11717,10368.03,18.37,4.54,15.78,7.1,3.38,YES
45,quad,4,12.27,25.43,9069,7305.99,22.25,6.3,14.13,4.29,3.43,YES
46,quad,4,10.65,21.05,9148,7208.16,18.57,6.01,20.65,10.1,4.09,YES
47,octa,8,18.93,72.96,12892,10811.33,23.7,5.31,16.98,7.15,9.81,NO
48,quad,4,8.41,16.04,15878,12034.03,19.51,4.36,21.85,8.51,2.36,YES
49,octa,8,14.39,50.23,8507,6796.91,30.1,2.15,15.35,9.94,6.21,YES
50,quad,4,17.23,28.65,9382,7290.2,23.89,5.33,20.86,9.78,4.45,YES
51,octa,8,15.65,64.33,20041,14172.38,28.02,1.33,17.67,8.87,2.9,YES
52,quad,4,11.41,20.21,10653,8665.93,14.7,3.13,21.48,6.61,8.96,NO
53,octa,8,15.6,59.97,15439,12642.46,34.54,4.21,10.91,9.98,7.06,YES
54,quad,4,8.27,14.07,10180,7909.19,16.99,5.13,13.64,11.63,5.47,YES
55,quad,4,14.14,25.76,15633,11363.64,18.03,2.67,20.01,9.98,2.09,YES
56,octa,8,9.57,31.26,18322,14796.63,10.14,5.77,12.06,7.41,4.35,YES
57,hexa,6,16.92,42.0,10837,7872.88,19.96,2.87,20.09,9.61,8.41,YES
58,octa,8,9.86,33.41,18621,13788.32,14.37,6.35,8.5,11.86,9.74,YES
59,hexa,6,16.2,53.12,21091,16093.36,33.77,6.16,21.4,10.5,8.66,YES
60,hexa,6,15.84,39.76,20363,17173.8,31.54,5.67,17.95,10.87,2.03,YES
61,quad,4,8.1,14.33,19945,16537.75,19.79,4.18,8.73,10.72,8.59,YES
62,hexa,6,14.95,36.14,20182,17097.72,8.73,6.06,19.21,10.66,9.25,YES
63,octa,8,9.09,32.69,8275,7240.73,15.88,4.41,13.86,9.49,4.83,YES
64,hexa,6,9.21,25.1,15315,13293.02,12.53,2.47,18.61,7.94,2.48,YES
65,octa,8,8.32,29.79,11074,8575.58,20.98,3.78,12.77,6.51,5.52,YES
66,octa,8,12.47,44.42,12376,10699.34,28.23,2.33,13.46,10.79,3.1,YES
67,octa,8,14.95,51.41,21181,18357.44,15.09,6.24,8.17,6.25,2.98,YES
68,octa,8,19.09,62.85,13905,11961.28,23.95,2.57,11.65,7.3,7.21,YES
69,octa,8,17.56,61.62,13370,10059.36,19.99,2.38,9.34,5.16,9.49,NO
70,hexa,6,15.37,50.69,13534,10998.58,11.11,3.2,10.72,4.29,9.15,NO
71,quad,4,19.9,37.04,20878,15361.02,12.04,6.3,18.82,7.2,3.53,YES
72,octa,8,16.84,64.03,11098,7834.09,12.27,5.64,19.79,7.33,4.52,YES
73,octa,8,18.61,70.75,8704,7306.14,32.08,3.66,11.32,11.02,5.15,YES
74,octa,8,17.53,75.15,18338,14923.13,18.01,3.39,15.95,5.11,7.81,NO
75,quad,4,13.66,26.08,17595,12643.93,32.56,2.68,8.19,10.07,3.7,YES
76,hexa,6,16.1,40.39,21876,18113.35,28.01,3.71,21.34,7.18,7.77,NO
77,octa,8,12.19,47.57,13917,10491.47,24.32,4.49,16.48,4.05,7.17,NO
78,octa,8,11.19,41.12,15547,11799.85,11.41,3.87,15.15,5.05,7.39,NO
79,octa,8,16.2,60.66,19729,16303.22,27.32,2.94,12.3,4.32,4.28,YES
80,quad,4,10.05,20.08,14233,10741.18,26.56,1.4,19.62,4.73,3.95,YES
81,hexa,6,16.14,53.15,8898,6297.13,29.49,6.39,13.79,4.8,8.98,NO
82,octa,8,10.54,35.52,11710,9249.88,32.37,1.97,14.44,6.71,3.55,YES
83,octa,8,15.28,55.3,18460,14437.59,16.12,2.11,13.96,5.77,6.59,NO
84,hexa,6,13.46,32.38,11266,10046.47,19.58,3.74,8.33,5.13,9.33,NO
85,hexa,6,11.33,31.12,8419,7568.51,25.03,1.51,13.28,5.93,7.45,NO
86,octa,8,17.43,70.46,15799,13018.26,12.55,2.68,11.66,10.52,3.24,YES
87,octa,8,9.63,39.45,18701,15524.73,26.38,6.05,20.49,11.75,6.33,YES
88,hexa,6,18.28,45.91,21400,16823.65,19.78,5.11,20.22,11.36,6.4,YES
89,octa,8,18.48,70.54,17410,12414.36,11.27,2.16,10.94,8.54,3.47,YES
90,hexa,6,14.54,43.01,11177,8364.79,26.68,4.52,17.63,6.13,9.16,NO
91,hexa,6,19.24,54.61,14129,12225.79,29.49,2.7,21.37,9.4,9.94,NO
92,quad,4,10.21,21.39,21318,15665.0,31.93,5.03,18.54,10.63,6.06,YES
93,hexa,6,13.69,45.12,19386,15755.58,20.39,6.07,14.07,6.87,4.26,YES
94,quad,4,9.29,16.34,20231,17208.6,32.43,3.16,15.43,4.33,6.47,NO
95,octa,8,8.17,26.39,14464,12805.83,10.52,5.63,10.82,11.94,4.88,YES
96,hexa,6,14.46,35.71,11943,9438.47,10.04,6.47,15.42,9.62,5.68,YES
97,octa,8,12.38,46.32,8847,6405.14,29.57,2.66,20.82,9.02,8.94,YES
98,octa,8,18.55,60.29,17131,15026.8,10.3,3.98,12.12,7.31,8.84,NO
99,quad,4,12.57,23.86,17083,12865.25,34.11,1.74,8.95,10.91,9.34,YES
100,quad,4,12.31,25.13,8100,6081.73,34.46,5.18,16.13,9.7,6.09,YES
